location_id,date,discharge_m3s,flow_category
1,2026-05-31,8451.79,High
1,2026-06-01,7567.33,High
1,2026-06-02,6352.31,High
1,2026-06-03,5151.29,High
1,2026-06-04,4063.43,High
1,2026-06-05,3212.66,High
1,2026-06-06,2635.33,High
2,2026-05-31,4.81,Low
2,2026-06-01,3.59,Low
2,2026-06-02,2.72,Low
2,2026-06-03,2.13,Low
2,2026-06-04,1.65,Low
2,2026-06-05,1.28,Low
2,2026-06-06,1.03,Low
3,2026-05-31,1.59,Low
3,2026-06-01,1.34,Low
3,2026-06-02,1.19,Low
3,2026-06-03,1.09,Low
3,2026-06-04,1.0,Low
3,2026-06-05,0.97,Low
3,2026-06-06,0.91,Low
4,2026-05-31,0.44,Low
4,2026-06-01,0.37,Low
4,2026-06-02,0.31,Low
4,2026-06-03,0.25,Low
4,2026-06-04,0.22,Low
4,2026-06-05,0.19,Low
4,2026-06-06,0.16,Low
5,2026-05-31,6.13,Low
5,2026-06-01,4.9,Low
5,2026-06-02,4.13,Low
5,2026-06-03,3.53,Low
5,2026-06-04,3.03,Low
5,2026-06-05,2.62,Low
5,2026-06-06,2.34,Low
6,2026-05-31,5.5,Low
6,2026-06-01,4.25,Low
6,2026-06-02,3.59,Low
6,2026-06-03,2.94,Low
6,2026-06-04,2.53,Low
6,2026-06-05,2.18,Low
6,2026-06-06,1.94,Low
