location_id,date,weather_code,temperature_f,wind_speed_mph,precipitation_in,pressure_hpa
1,2026-05-31,3,69.81,6.4,0.0,1015.68
1,2026-06-01,3,71.41,9.6,0.0,1015.23
1,2026-06-02,3,68.03,12.5,0.0,1020.68
1,2026-06-03,0,68.17,10.2,0.0,1024.53
1,2026-06-04,3,71.84,6.0,0.0,1021.2
1,2026-06-05,3,74.12,10.6,0.0,1017.61
1,2026-06-06,51,73.78,11.2,0.06,1015.4
2,2026-05-31,3,69.9,11.1,0.0,1015.76
2,2026-06-01,3,70.88,11.4,0.0,1015.3
2,2026-06-02,3,67.95,11.7,0.0,1020.72
2,2026-06-03,0,67.34,10.9,0.0,1024.53
2,2026-06-04,3,71.28,4.1,0.0,1021.2
2,2026-06-05,3,74.02,10.1,0.0,1017.61
2,2026-06-06,51,74.05,10.2,0.05,1015.4
3,2026-05-31,3,70.34,6.7,0.0,1015.54
3,2026-06-01,3,72.46,9.0,0.0,1015.16
3,2026-06-02,3,69.05,12.2,0.0,1020.64
3,2026-06-03,0,69.44,10.5,0.0,1024.53
3,2026-06-04,3,71.78,7.6,0.0,1021.2
3,2026-06-05,3,73.2,10.5,0.0,1017.61
3,2026-06-06,53,72.87,10.5,0.13,1015.4
4,2026-05-31,3,70.77,12.7,0.0,1015.54
4,2026-06-01,3,71.2,11.5,0.0,1015.25
4,2026-06-02,3,68.23,13.5,0.0,1020.42
4,2026-06-03,0,65.73,12.8,0.0,1024.44
4,2026-06-04,3,68.03,6.3,0.0,1021.46
4,2026-06-05,3,70.48,10.9,0.0,1017.93
4,2026-06-06,51,71.82,10.3,0.06,1015.79
5,2026-05-31,3,68.88,9.6,0.0,1015.7
5,2026-06-01,3,70.21,11.7,0.0,1015.3
5,2026-06-02,3,67.42,12.4,0.0,1020.67
5,2026-06-03,0,66.08,12.1,0.0,1024.62
5,2026-06-04,3,69.48,5.7,0.0,1021.36
5,2026-06-05,3,72.56,10.4,0.0,1017.63
5,2026-06-06,51,73.19,9.2,0.04,1015.48
6,2026-05-31,3,70.65,7.5,0.0,1015.23
6,2026-06-01,3,72.51,8.2,0.0,1015.02
6,2026-06-02,2,67.51,12.2,0.0,1020.39
6,2026-06-03,0,66.23,12.0,0.0,1024.26
6,2026-06-04,3,68.37,7.6,0.0,1021.35
6,2026-06-05,3,70.19,10.8,0.0,1017.78
6,2026-06-06,55,71.9,9.9,0.18,1015.51
